ClientName,ClassName,Category,ElementName,ExpectedTitleText,ExpectedCTAText,ExpectedDismiss,ExpectedInfoText,ExpectedIncentiveValue,ExpectedIncentiveType,BlankColumnNeeded
tva,Page_Journey,newmemberjourney,Blue365Deals,Blue365 Deals,Learn More,TRUE,Blue365 is a program sponsored by participating Blue Companies,,,
tva,Page_Journey,newmemberjourney,FitnessWay,Fitness Your Way,Learn More,TRUE,fitness your way is a fitness discount program,,,

health trust,Page_Journey,clinicaljourney,WelcomeVideoTileText,Welcome Video,Watch,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
health trust,Page_Journey,clinicaljourney,LowerYourStressTileText,Lower Your Stress,Start,TRUE,office visits are stress-related,,,
health trust,Page_Journey,clinicaljourney,LowerYourStress.CompleteAGoal,Complete A Goal,Complete A Goal,TRUE,Discover the power of setting goals,,,
health trust,Page_Journey,clinicaljourney,LowerYourStress.TrackYourStress,Track your Stress,Go to Tracker,TRUE,Use a tracker to create a faster track to stress reduction,1,$,
health trust,Page_Journey,clinicaljourney,LowerYourStress.CompleteAChallenge,Complete A Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,,
health trust,Page_Journey,clinicaljourney,LowerYourStress.TakeOnlineCourse,Take An Online Course,Take The Course,TRUE,Stress occurs when you feel overwhelmed and lack the skills to deal with a situation,15,$,
health trust,Page_Journey,clinicaljourney,LowerYourStress.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,,,
health trust,Page_Journey,clinicaljourney,LowerYourStress.WatchAVideo,Watch A Video,Watch a Video,TRUE,Need a little extra support on your way to a healthier you,,,
health trust,Page_Journey,clinicaljourney,LowerYourStress.ListenAPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lower your stress level,,,
health trust,Page_Journey,clinicaljourney,QuitTobaccoTileText,Quit Tobacco,Start Program,TRUE,Quitting tobacco is the single most important action you can take to improve your health,,,
health trust,Page_Journey,clinicaljourney,QuitTobacco.CompleteAGoal,Complete A Goal,Go,TRUE,Setting a goal and following a plan to achieve that goal increases your chances of kicking your tobacco habit,,,
health trust,Page_Journey,clinicaljourney,QuitTobacco.QuitTobaccoTracker,Quit Tobacco Tracker,Go to Tracker,TRUE,Use a tracker to create a faster track to quitting,1,$,
health trust,Page_Journey,clinicaljourney,QuitTobacco.CompleteChallenge,Complete A Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,,
health trust,Page_Journey,clinicaljourney,QuitTobacco.CompleteOnlineCourse,Complete An Online Course,Complete Course,TRUE,When it comes to quitting tobacco,15,$,
health trust,Page_Journey,clinicaljourney,QuitTobacco.IncreaseYourKnowledge,Increase Your Knowledge,Go,TRUE,Now you can access that wealth of knowledge in one convenient location,,,
health trust,Page_Journey,clinicaljourney,QuitTobacco.WatchVideo,Watch A Video,Watch,TRUE,Need a little extra support on your way to a healthier you,,,
health trust,Page_Journey,clinicaljourney,QuitTobacco.ListenPodcast,Listen to Podcast,Listen,TRUE,Find out how the latest scientific research can help you quit your tobacco addiction,,,
health trust,Page_Journey,clinicaljourney,LoseTheWeightTileText,Lose The Weight,Start Program,TRUE,Losing weight is one of the best things you can do to live longer,,,
health trust,Page_Journey,clinicaljourney,LoseWeight.CompleteYourGoal,Complete Your Goal,Complete Goal,TRUE,Why? Because having a specific target is a proven way to stay focused and motivated,,,
health trust,Page_Journey,clinicaljourney,LoseWeight.TrackYourWeight,Track your Weight,Go to Tracker,TRUE,Fuel your desire by tracking your weight loss,1,$,
health trust,Page_Journey,clinicaljourney,LoseWeight.TakeChallenge,Take a Challenge,Take Challenge,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,,,
health trust,Page_Journey,clinicaljourney,LoseWeight.CompleteOnlineCourse,Complete An Online Course,Complete Course,TRUE,Broaden your knowledge as you slim down your waistline,15,$,
health trust,Page_Journey,clinicaljourney,LoseWeight.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Many of these information sources with their fad diets are not reliable and can actually be bad for you,,,
health trust,Page_Journey,clinicaljourney,LoseWeight.WatchVideo,Watch A Video,Watch,TRUE,Tune in for some healthy advice and support,,,
health trust,Page_Journey,clinicaljourney,LoseWeight.ListenAPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lose weight,,,
health trust,Page_Journey,clinicaljourney,LoseWeight.ConnectYourSmartScale,Connect Your Smart Scale,Connect,TRUE,You are more likely to meet your goals if you regularly keep track of your progress,5,$,
health trust,Page_Journey,clinicaljourney,LowerYourBloodPressureTileText,Lower Your Blood Pressure,Start Program,TRUE,you can access up to 12 activities that can help you reduce your risk,,,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.CompletGoal,Complete A Goal,Go,TRUE,It takes time. Setting a goal is a great way to,,,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.TrackBloodPressure,Track your Blood Pressue,Go to Tracker,TRUE,Take heart and take charge of your blood pressure,1,$,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.CompleteChallenge,Complete a Challenge,Take Challenge,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,,,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.CompleteOnlineCourse,Complete an Online Course,Complete Course,TRUE,Almost anyone can lower his or her blood pressure for a few days,15,$,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.IncreaseKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,,,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.WatchVideo,Watch A Video,Watch,TRUE,No matter what your wellness goal may be,,,
health trust,Page_Journey,clinicaljourney,LowerBloodPressure.ListenPodcast,Listen to a Podcast,Go,TRUE,Find out how the latest scientific research can help you lower your blood pressure,,,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterolTileText,Lower Your Cholesterol,Start Program,TRUE,causes heart disease and circulation problems,,,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterol.CompleteAGoal,Complete A Goal,Complete Goal,TRUE,Set your sights on a healthier you by Completing a goal,,,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterol.TrackYourCholesterol,Track your Cholesterol,Take me there,TRUE,Fuel your desire by tracking your cholesterol,1,$,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterol.CompleteChallenge,Complete A Challenge,Go,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,,,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterol.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,,,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterol.WatchVideo,Watch A Video,Watch,TRUE,Need a little extra support on your way to a healthier you,,,
health trust,Page_Journey,clinicaljourney,LowerYourCholesterol.ListenPodcast,Listen to a Podcast,Go,TRUE,Find out how the latest scientific research can help you lower your cholesterol,,,
health trust,Page_Journey,clinicaljourney,EatHealtyTileText,Eat Healthy,Start Program,TRUE,And most of us have a diet too high in sugars,,,
health trust,Page_Journey,clinicaljourney,EatHealthy.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Many of these information sources feature strange and untested diets that can actually be bad for you,,,
health trust,Page_Journey,clinicaljourney,EatHealty.TrackYourDiet,Track your Diet,Take me there,TRUE,Fuel your desire for a healthier diet by tracking what you eat,1,$,
health trust,Page_Journey,clinicaljourney,EatHealty.TrackOnlineCourse,Take An Online Course,Complete Course,TRUE,But the real achievement is to eat healthy today,15,$,
health trust,Page_Journey,clinicaljourney,EatHealthy.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Many of these information sources feature strange and untested diets that can actually be bad for you,,,
health trust,Page_Journey,clinicaljourney,EatHealthy.WatchVideo,Watch A Video,Watch,TRUE,Need a little extra support on your way to a healthier you,,,
health trust,Page_Journey,clinicaljourney,EatHealthy.ListenPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help make eating healthy a part of your lifestyle,,,
health trust,Page_Journey,clinicaljourney,ExerciseProgramTileText,Exercise Program,Start Program,TRUE,Are you ready to lower your risk for heart disease and stroke,,,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.ConnectWithCoach,Connect With A Coach,Connect,TRUE,It can be hard to stick with an exercise program,15,$,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.CompleteGoal,Complete a Goal,Complete Goal,TRUE,Setting achievable goals will help keep you on track when life becomes busy or you start to lose your motivation. ,,,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.TrackYourExercise,Track your Exercises,Take me there,TRUE,Clinical studies have shown that people who track their physical activities are more likely to meet their goals,1,$,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.CompleteChallenge,Complete a Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.TakeOnlineCourse,Take An Online Course,Complete Course,TRUE,Almost anyone can become more physically active,15,$,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,,,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.WatchVideo,Watch A Video,Watch,TRUE,Tune in for some healthy advice and support,,,
health trust,Page_Journey,clinicaljourney,ExerciseProgram.ListenPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you exercise smarter and more efficiently,,,
health trust,Page_Journey,clinicaljourney,BiometricHealthScreeningTileText,Biometric Health Screening,Learn More,TRUE,You can have your Biometric Health Screening at a HealthTrust-sponsored Biometric Health Screening event,,,
health trust,Page_Journey,clinicaljourney,ContactYourHealthCoachTileText,Contact Your Health Coach,Contact,TRUE,All of our Health Coaches are credentialed and certified health experts,15,$,
health trust,Page_Journey,clinicaljourney,DownloadAlwaysonAppTileText,Download the AlwaysOn,Download Now,TRUE,You use your mobile device for everything from checking the weather to buying movie tickets,10,$,
health trust,Page_Journey,clinicaljourney,JoinChallengeTileText,Join a Challenge,Join Challenge,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,5,$,
health trust,Page_Journey,clinicaljourney,ConnectYourFitnessDevice,Connect Your Fitness Device or App,Connect,TRUE,Regular physical activity is a proven and effective way to lower your blood pressure,5,$,
health trust,Page_Journey,clinicaljourney,OrderFitnessDevice,Order a Fitness Device,Shop Now,FALSE,Always wanted a wearable fitness tracker,,,
health trust,Page_Journey,clinicaljourney,TrackNutritionApp,Track with your Nutrition App,Connect App,TRUE,So you can avoid food high in saturated fat and sodium as well as increase your servings of heart-healthy foods,5,$,
health trust,Page_Journey,clinicaljourney,SelfDirectedCoursePreventiveHealth,Self-Directed Course-Preventive Health,Take The Course,TRUE,More than two-thirds of all deaths in the United States are caused by just five chronic diseases,15,$,
health trust,Page_Journey,clinicaljourney,SelfDirectedProgressCheckIn,Self-Directed Progress Check-In Completion,Check-In,TRUE,Healthy living is a lifelong pursuit,5,$,
health trust,Page_Journey,clinicaljourney,ConnectWithACollegue,Connect with a Colleague,Connect,TRUE,You can even invite your fellow HealthTrust Enrollees to participate in a challenge with you,5,$,

meabt,Page_Journey,clinicaljourney,WelcomeVideoTileText,Welcome Video,Watch The Video,TRUE,This short Welcome Video provides a quick and helpful introduction to your wellness program,,,
meabt,Page_Journey,clinicaljourney,LowerYourStressTileText,Lower Your Stress,Start,TRUE,Stress is a major health problem,,,
meabt,Page_Journey,clinicaljourney,LowerYourStress.TrackYourStress,Track your Stress,Go to Tracker,TRUE,Use a tracker to create a faster track to stress reduction,1,PT,
meabt,Page_Journey,clinicaljourney,LowerYourStress.ConnectWithACoach,Connect With A Coach,Connect,TRUE,Give yourself a break by teaming up with a Health Coach,,,
meabt,Page_Journey,clinicaljourney,LowerYourStress.CompleteAGoal,Complete A Goal,Complete A Goal,TRUE,And the best way to set a goal is to keep it simple.,25,PTS,
meabt,Page_Journey,clinicaljourney,LowerYourStress.CompleteAChallenge,Complete A Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,,
meabt,Page_Journey,clinicaljourney,LowerYourStress.TakeOnlineCourse,Take An Online Course,Take The Course,TRUE,The more you learn about stress,15,PTS,
meabt,Page_Journey,clinicaljourney,LowerYourStress.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,,,
meabt,Page_Journey,clinicaljourney,LowerYourStress.WatchAVideo,Watch A Video,Watch a Video,TRUE,Tune in for some healthy advice and support,,,
meabt,Page_Journey,clinicaljourney,LowerYourStress.ListenAPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lower your stress level,,,
meabt,Page_Journey,clinicaljourney,QuitTobaccoTileText,Quit Tobacco,Start Program,TRUE,Quitting tobacco is the single most important action you can take to improve your health,,,
meabt,Page_Journey,clinicaljourney,QuitTobacco.ConnectWithACoach,Connect With A Coach,Connect,TRUE,love it when you hear your health coach say,,,
meabt,Page_Journey,clinicaljourney,QuitTobacco.CompleteAGoal,Complete A Goal,Go,TRUE,You need a plan and a goal,25,PTS,
meabt,Page_Journey,clinicaljourney,QuitTobacco.QuitTobaccoTracker,Quit Tobacco Tracker,Go to Tracker,TRUE,Use a tracker to create a faster track to quitting,1,PT,
meabt,Page_Journey,clinicaljourney,QuitTobacco.CompleteChallenge,Complete A Challenge,Take Challenge,TRUE,competing against yourself is a great way to boost your motivation,,,
meabt,Page_Journey,clinicaljourney,QuitTobacco.CompleteOnlineCourse,Complete An Online Course,Complete Course,TRUE,Almost anyone can stop tobacco for a day,15,PTS,
meabt,Page_Journey,clinicaljourney,QuitTobacco.IncreaseYourKnowledge,Increase Your Knowledge,Go,TRUE,a ton of information available on how to quit tobacco,,,
meabt,Page_Journey,clinicaljourney,QuitTobacco.WatchVideo,Watch A Video,Watch,TRUE,Need a little extra support on your way to a healthier,,,
meabt,Page_Journey,clinicaljourney,QuitTobacco.ListenPodcast,Listen to Podcast,Listen,TRUE,Find out how the latest scientific research can help you quit your tobacco addiction,,,
meabt,Page_Journey,clinicaljourney,LowerYourBloodPressureTileText,Lower Your Blood Pressure,Start Program,TRUE,greater risk for heart disease and stroke because they have,,,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.ConnectWithCoach,Connect With A Coach,Connect,TRUE,Team up with a Health Coach,,,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.CompletGoal,Complete A Goal,Go,TRUE,A healthier you starts with setting a goal,25,PTS,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.TrackBloodPressure,Track your Blood Pressue,Go to Tracker,TRUE,Take heart and take charge of your blood pressure,1,PT,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.CompleteChallenge,Complete a Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.CompleteOnlineCourse,Complete an Online Course,Complete Course,TRUE,Take An Online Course,15,PTS,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.IncreaseKnowledge,Increase Your Knowledge,Read,TRUE,ton of information available on how to lower your hypertension,,,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.WatchVideo,Watch A Video,Watch,TRUE,Need a little extra support on your way to a healthier you,,,
meabt,Page_Journey,clinicaljourney,LowerBloodPressure.ListenPodcast,Listen to a Podcast,Go,TRUE,Find out how the latest scientific research can help you lower your blood pressure,,,
meabt,Page_Journey,clinicaljourney,LowerYourCholesterolTileText,Lower Your Cholesterol,Start Program,TRUE,About one in every six adult Americans has high cholesterol,,,
meabt,Page_Journey,clinicaljourney,LowerYourCholesterol.ConnectWithCoach,Connect With A Coach,Connect,TRUE,Team up with a Health Coach and your high cholesterol has met its match,,,
meabt,Page_Journey,clinicaljourney,LowerYourCholesterol.CompleteAGoal,Complete A Goal,Complete Goal,TRUE,Set your sights on a healthier you by Completing a goal,25,PTS,
meabt,Page_Journey,clinicaljourney,LowerYourCholesterol.TrackYourCholesterol,Track your Cholesterol,Take me there,TRUE,Fuel your desire by tracking your cholesterol,1,PT,
