ClientName,ClassName,Category,ElementName,ExpectedText1,ExpectedText2,ExpectedText3,ExpectedText4,ExpectedText5,Expected6
health trust,MAPI_Dashboard,clinicaljourney,LowerYourCholesterol.ConnectWithSmartScale,Connect Your Smart Scale,Connect,TRUE,You are more likely to meet your goals if you regularly keep track of your progress,5,$
health trust,MAPI_Dashboard,clinicaljourney,EatHealthyTileText,Eat Healthy,Start Program,TRUE,And most of us have a diet too high in sugars,,
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.ConnectWithCoach,Connect With A Coach,Connect,TRUE,What you need is someone to help you overcome your temptations,15,$
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Many of these information sources feature strange and untested diets that can actually be bad for you,,
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.TrackYourDiet,Track your Diet,Take me there,TRUE,Fuel your desire for a healthier diet by tracking what you eat,1,$
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.StartChallenge,Start A Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Many of these information sources feature strange and untested diets that can actually be bad for you,5,$
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.WatchVideo,Watch A Video,Watch,TRUE,Need a little extra support on your way to a healthier you,,
health trust,MAPI_Dashboard,clinicaljourney,EatHealthy.ListenPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help make eating healthy a part of your lifestyle,,
health trust,MAPI_Dashboard,clinicaljourney,QuitTobaccoTileText,Quit Tobacco,Start Program,TRUE,Quitting tobacco is the single most important action you can take to improve your health,,
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.ConnectWithCoach,Connect With A Coach,Connect,TRUE,Quitting tobacco is hard,15,$
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.CompleteGoal,Complete A Goal,Go,TRUE,Setting a goal and following a plan to achieve that goal increases your chances of kicking your tobacco habit,,
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.QuitTobaccoTracker,Quit Tobacco Tracker,Go to Tracker,TRUE,Use a tracker to create a faster track to quitting,1,$
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.CompleteChallenge,Complete A Challenge,Take Challenge,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,,
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.IncreaseYourKnowledge,Increase Your Knowledge,Go,TRUE,Now you can access that wealth of knowledge in one convenient location,5,$
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.WatchVideo,Watch A Video,Watch,TRUE,Tune in for some healthy advice and support,,
health trust,MAPI_Dashboard,clinicaljourney,QuitTobacco.ListenPodcast,Listen to Podcast,Listen,TRUE,Find out how the latest scientific research can help you quit your tobacco addiction,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStressTileText,Lower Your Stress,Start,TRUE,office visits are stress-related,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.ConnectWithACoach,Connect With A Coach,Connect,TRUE,Say hello to a new friend as you say good-bye to stress,15,$
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.CompleteAGoal,Complete A Goal,Complete A Goal,TRUE,And the best way to set a goal is to keep it simple,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.TrackYourStress,Track your Stress,Go to Tracker,TRUE,Use a tracker to create a faster track to stress reduction,1,$
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.CompleteAChallenge,Complete A Challenge,Take Challenge,TRUE,Your wellness program offers a number of personal challenges to get your competitive juices flowing,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,5,$
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.WatchAVideo,Watch A Video,Watch a Video,TRUE,Tune in for some healthy advice and support,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourStress.ListenAPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lower your stress level,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBloodPressureTileText,Lower Your Blood Pressure,Start Program,TRUE,greater risk for heart disease and stroke because they have,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBP.ConnectWithCoach,Connect With A Coach,Connect,TRUE,Team up with a Health Coach,15,$
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBp.CompleteAGoal,Complete A Goal,Go,TRUE,A healthier you starts with setting a goal,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBP.TrackBP,Track your Blood Pressue,Go to Tracker,TRUE,Take heart and take charge of your blood pressure,1,$
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBP.CompleteChallenge,Complete a Challenge,Take Challenge,TRUE,Real change begins when you challenge yourself,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBp.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Now you can access that wealth of knowledge in one convenient location,5,$
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBP.WatchAVideo,Watch A Video,Watch,TRUE,Tune in for some healthy advice and support,,
health trust,MAPI_Dashboard,clinicaljourney,LowerYourBP.ListenToPodcast,Listen to a Podcast,Go,TRUE,Find out how the latest scientific research can help you lower your blood pressure,,
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeightTileText,Lose The Weight,Start Program,TRUE,Losing weight is one of the best things you can do to live longer,,
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeight.ConnectWithCoach,Connect With A Coach,Go,TRUE,Lose the weight as you gain a friend,15,$
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeight.CompleteYourGoal,Complete Your Goal,Complete Goal,TRUE,the best way to lose weight is to start by setting a goal,,
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeight.TrackYourWeight,Track your Weight,Go to Tracker,TRUE,Fuel your desire by tracking your weight loss,1,$
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeight.IncreaseYourKnowledge,Increase Your Knowledge,Read,TRUE,Many of these information sources with their fad diets are not reliable and can actually be bad for you,5,$
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeight.WatchAVideo,Watch A Video,Watch,TRUE,Tune in for some healthy advice and support,,
health trust,MAPI_Dashboard,clinicaljourney,LoseTheWeight.ListenToPodcast,Listen to a Podcast,Listen,TRUE,Find out how the latest scientific research can help you lose weight,,
